page,id,address,pointName,taxonCount,userId,username,startTime,endTime
1,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
1,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
1,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
1,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
1,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
1,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
1,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
1,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
1,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
1,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
2,2130067,江苏省苏州市苏州工业园区白塘生态植物园,白塘生态植物园,1,92333,吴亦诚,2026-05-31 11:30,2026-05-31 12:30
2,2130062,福建省厦门市思明区东山水库,东山水库,22,65646,lasiatt,2026-05-31 06:20,2026-05-31 08:07
2,2130061,新疆维吾尔自治区塔城地区沙湾市千泉湖水库,千泉湖水库,24,15270,花九橘灯,2026-06-02 19:00,2026-06-02 20:00
2,2130060,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,15270,花九橘灯,2026-06-02 17:00,2026-06-02 18:00
2,2130059,新疆维吾尔自治区塔城地区沙湾市西戈壁镇,西戈壁镇,6,15270,花九橘灯,2026-06-02 12:00,2026-06-02 13:00
2,2130058,新疆维吾尔自治区塔城地区沙湾县玛纳斯河河谷 ,玛纳斯河河谷 ,27,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
2,2130057,新疆维吾尔自治区塔城地区额敏县铁厂沟农田牧场,铁厂沟农田牧场,28,63887,wuk,2026-06-02 10:00,2026-06-02 11:00
2,2130056,新疆维吾尔自治区石河子市十户窑村,十户窑村,20,15270,花九橘灯,2026-06-02 06:00,2026-06-02 07:00
2,2130055,浙江省丽水市遂昌县遂昌县黄沙腰镇大岩前,遂昌县黄沙腰镇大岩前,28,28503,胡九九啊,2026-06-02 14:00,2026-06-02 15:00
2,2130053,新疆维吾尔自治区塔城地区沙湾县石河子蘑菇湖,石河子蘑菇湖,22,26140,Addict,2026-06-02 17:00,2026-06-02 18:00
